STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1996-03,,52.25735,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1996-02,,51.66632,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1996-01,,51.71557,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1995-12,,50.87827,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1995-11,,50.63201,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2010-07,,104.5994,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2010-06,,104.2487,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2010-05,,105.58,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2010-04,,104.8974,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2010-03,,103.4306,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2010-02,,100.7001,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2010-01,,102.4589,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2009-12,,99.63916,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2009-11,,100.4888,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2009-10,,98.11084,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2009-09,,99.6106,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2009-08,,100.9542,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2009-07,,99.46037,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,IX,Index,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2009-06,,101.1694,,A,Normal value,,,2015,,,,2,Two
