STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1993-10,,0.861244,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",1993-09,,-0.661001,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2001-02,,13.11054,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2001-01,,17.77778,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-12,,14.17112,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-11,,16.00719,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-10,,15.86022,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-09,,15.37103,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-08,,13.1177,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-07,,19.31923,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-06,,21.34831,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-05,,14.58333,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-04,,14.95238,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,M,Monthly,N,National,CPI,Consumer price index,PA,Percent per annum,CP045_0722,Energy,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-03,,24.18699,,A,Normal value,,,,,,,2,Two
